UUID,id,NEW_title,NEW_abstract,NEW_keywords_theme,NEW_keywords_place,NEW_topic_categories,NEW_link_download,NEW_link_information,NEW_link_service_esri,NEW_link_service_wms,NEW_distribution_format,NEW_date_publication,NEW_date_revision,originator,publisher,datasetURI
dbc02f0d-6450-4be8-959e-9ac6f3651b9a,840931,DPSSites,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Education/Detroit-Public-Schools-Sites/ipa4-scig,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,DPSSites
0d24acde-c4b1-44e3-87d1-95993bd6ab06,840956,2015_NonFatal_Shootings,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Public-Safety/DPD-2015-Non-Fatal-Shooting-Offenses-Victims-Confi/p746-ctzn,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,2015_NonFatal_Shootings
45389123-cb76-4567-a756-f1daf8a37cfe,840957,2015_Homicide_Offenses,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Public-Safety/DPD-2015-Homicide-Offenses-Victims-Confirmed-Map/9d8p-4k7v,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,2015_Homicide_Offenses
19f2fcde-99c8-4b6e-8c94-98592058d781,840958,2015_Carjacking_Offenses,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Public-Safety/DPD-2015-Carjacking-Offenses-Victims-Confirmed-Map/3q8r-442g,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,2015_Carjacking_Offenses
a3aa6588-903a-4187-b79c-75e8778c6fa7,840961,2012-04 Stop Activity,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/Weekday-Boarding-Alighting-Activity/vapg-c9ea,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,2012-04 Stop Activity
d058f602-2b00-4766-9f72-1b07d9ec23c6,840908,RecCen_ptsCopy,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Fun/Recreation-Centers/ku5j-w3uv,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,RecCen_ptsCopy
87277774-ea8c-47d2-9470-9640ee4a0edd,840909,Parks_2016,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Fun/Parks-2016/yu9n-k8rd,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Parks_2016
3ad371f1-facc-4e88-bfc2-51f63914f81e,840910,PARCELS,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,PARCELS
b1ca9df0-d8b2-4537-9867-dff7894dcc8e,840911,Osborn,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Osborn
32df5231-25d9-46cd-8323-229a0d288018,840904,Senate2011,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/2011-State-Senate-Districts/h78i-46dc,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Senate2011
